ifa,age,dupl_age,workclass,dupl_workclass,fnlwgt,logfnl,empty,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
8537a,77,77,Self-emp-inc,Self-emp-inc,192230,5.283821166,,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K
8878a,27,27,Private,Private,204788,5.311304505,,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
9698a,28,28,Private,Private,25955,4.414221033,,Some-college,10,Never-married,Craft-repair,Own-child,,Male,0,0,40,United-States,<=50K
10078a,58,58,Private,Private,225603,5.35334487,,,5,Divorced,Farming-fishing,Not-in-family,Black,Male,0,0,40,United-States,<=50K
10463a,25,25,Private,Private,485496,5.686185656,,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,Black,Female,0,0,40,United-States,<=50K
10962a,21,21,Private,Private,51047,4.707970224,,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,25,United-States,<=50K
11351a,45,45,Self-emp-not-inc,Self-emp-not-inc,222374,5.347084008,,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50K
11807a,35,35,Private,Private,79050,4.897901874,,HS-grad,9,Never-married,Transport-moving,Unmarried,Black,Male,0,0,72,United-States,<=50K
11980a,34,34,Private,Private,69251,4.840426049,,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Asian-Pac-Islander,Male,0,0,40,United-States,>50K
12101a,55,55,Private,Private,141549,5.150906806,,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
12434a,41,41,Private,Private,203761,,,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
12502a,28,28,Private,Private,120135,,,Assoc-voc,11,Never-married,Sales,Not-in-family,White,Female,0,0,40,United-States,<=50K
12517a,43,43,Private,Private,238530,,,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
12662a,26,26,Private,Private,53598,,,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
13610a,54,54,Private,Private,175912,,,10th,6,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K
13850a,40,40,Private,Private,299813,,,11th,7,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,37,Dominican-Republic,<=50K
13952a,30,30,Private,Private,160634,,,Assoc-voc,11,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,>50K
13969a,22,22,Private,Private,72310,,,11th,7,Never-married,Transport-moving,Not-in-family,White,Male,0,0,65,United-States,<=50K
14219a,47,47,Private,Private,343579,,,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,Mexico,<=50K
14300a,36,36,Private,Private,186376,,,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,Asian-Pac-Islander,Male,0,0,50,United-States,>50K
14498a,24,24,Private,Private,424034,,,HS-grad,9,Never-married,Exec-managerial,Unmarried,White,Male,0,0,40,United-States,<=50K
15109a,43,43,Local-gov,Local-gov,36924,,,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
15115a,27,27,Private,Private,152951,,,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
15295a,31,31,Private,Private,202729,,,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,50,United-States,<=50K
15357a,,0,Private,Private,90523,,,HS-grad,9,Widowed,Transport-moving,Unmarried,White,Male,0,0,,United-States,<=50K
15756a,58,58,Private,Private,197114,,,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
16167a,51,51,Private,Private,257337,,,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,50,United-States,<=50K
16381a,34,34,Private,Private,118584,,,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K
16423a,50,50,Self-emp-inc,Self-emp-inc,158294,,,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,99999,0,80,United-States,>50K
16493a,58,58,Self-emp-not-inc,Self-emp-not-inc,35551,,,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,70,United-States,>50K
16909a,58,58,Federal-gov,Federal-gov,208640,,,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
17112a,45,45,Private,Private,204057,,,Bachelors,13,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,Germany,<=50K
17128a,51,51,Private,Private,201127,,,HS-grad,9,Divorced,Sales,Not-in-family,White,Male,0,0,45,United-States,<=50K
17137a,50,50,Private,Private,226735,,,Some-college,10,Married-civ-spouse,Protective-serv,Husband,Black,Male,0,0,70,United-States,>50K
17142a,22,22,Private,Private,374116,,,HS-grad,9,Never-married,Priv-house-serv,Own-child,White,Female,0,0,36,United-States,<=50K
17913a,37,37,Self-emp-not-inc,Self-emp-not-inc,111129,,,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,<=50K
18277a,50,50,Private,Private,173630,,,HS-grad,9,Divorced,Sales,Not-in-family,White,Male,0,0,60,United-States,<=50K
18554a,41,41,Private,Private,297186,,,HS-grad,9,Married-civ-spouse,Transport-moving,Wife,White,Female,0,0,40,United-States,<=50K
18761a,46,46,Private,Private,353219,,,,5,Divorced,Other-service,Unmarried,White,Female,0,0,40,United-States,<=50K
18831a,22,22,Private,Private,157145,,,Assoc-voc,11,Never-married,Craft-repair,Own-child,White,Male,0,0,50,United-States,<=50K
18836a,39,39,Private,Private,224566,,,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,>50K
19202a,52,52,Local-gov,Local-gov,255927,,,Some-college,10,Widowed,Adm-clerical,Not-in-family,White,Female,0,0,24,United-States,<=50K
19907a,28,28,Private,Private,328518,,,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,<=50K
20275a,19,19,Private,Private,285750,,,HS-grad,9,Never-married,Handlers-cleaners,Other-relative,White,Male,0,0,30,United-States,<=50K
20289a,32,32,Private,Private,127875,,,Bachelors,13,Married-civ-spouse,Tech-support,Wife,White,Female,0,0,40,United-States,>50K
20815a,56,56,Federal-gov,Federal-gov,156842,,,Some-college,10,Separated,Other-service,Not-in-family,Black,Male,0,0,40,United-States,<=50K
22279a,27,27,Private,Private,177119,,,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,44,United-States,<=50K
22346a,68,68,Private,Private,45508,,,5th-6th,3,,Sales,Not-in-family,White,Male,0,0,22,United-States,<=50K
22388a,22,22,?,?,224238,,,Some-college,10,Never-married,?,Own-child,White,Male,0,0,2,United-States,<=50K
23411a,43,43,Private,Private,143583,,,10th,6,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0,0,40,United-States,<=50K
24368a,28,28,Local-gov,Local-gov,84657,,,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K
24974a,31,31,Private,Private,117028,,,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
25089a,29,29,Federal-gov,Federal-gov,244473,,,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688,0,40,United-States,>50K
25784a,19,19,Private,Private,142219,,,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,30,United-States,<=50K
26179a,44,44,Private,Private,236746,,,Masters,14,Divorced,Exec-managerial,Not-in-family,White,Male,10520,0,45,United-States,>50K
27027a,19,19,Private,Private,165306,,,Some-college,10,Never-married,Tech-support,Other-relative,Asian-Pac-Islander,Male,0,0,40,Vietnam,<=50K
27251a,48,48,Self-emp-not-inc,Self-emp-not-inc,117849,,,Some-college,10,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States,<=50K
27275a,39,39,State-gov,State-gov,152023,,,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
28178a,28,28,State-gov,State-gov,239130,,,Some-college,10,Divorced,Other-service,Unmarried,White,Male,0,0,40,United-States,<=50K
28610a,33,33,Private,Private,348152,,,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
28628a,61,61,Private,Private,35649,,,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0,6,United-States,<=50K
28925a,42,42,Private,Private,306982,,,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,0,0,40,Philippines,>50K
29243a,49,49,Self-emp-inc,Self-emp-inc,315998,,,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,<=50K
30510a,22,22,Private,Private,112693,,,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,35,United-States,<=50K
31136a,41,41,Private,Private,36699,,,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Male,4650,0,40,United-States,<=50K
31223a,30,30,Private,Private,297155,,,Some-college,10,Divorced,Adm-clerical,Unmarried,Black,Female,0,0,40,United-States,<=50K
31531a,52,52,Private,Private,173987,,,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
31853a,41,41,Private,Private,93885,,,Some-college,10,Divorced,Sales,Unmarried,White,Female,0,0,48,United-States,<=50K
1490a,37,37,Private,Private,175232,5.243613418,,Masters,14,Divorced,Exec-managerial,Unmarried,White,Male,0,0,60,United-States,>50K
2016a,31,31,Private,Private,170430,5.231546044,,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,80,?,<=50K
3334a,41,41,Private,Private,231689,5.364905415,,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
3939a,38,38,Private,Private,82622,4.917095704,,Some-college,10,Divorced,Craft-repair,Unmarried,White,Male,0,0,40,United-States,<=50K
3994a,42,42,Private,Private,163003,5.212195597,,Bachelors,13,,Tech-support,Own-child,Asian-Pac-Islander,Female,0,0,40,United-States,<=50K
4268a,49,49,Private,Private,329603,5.517991156,,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1902,40,United-States,>50K
4863a,35,35,Private,Private,46385,4.666377561,,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,5178,0,90,United-States,>50K
4897a,20,20,Private,Private,194630,5.289209783,,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50K
5059a,44,44,Private,Private,313022,5.495574862,,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,40,United-States,>50K
5138a,49,49,Self-emp-inc,Self-emp-inc,158685,5.200535876,,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,2377,40,United-States,>50K
5879a,28,28,Private,Private,65389,4.815504696,,HS-grad,9,Never-married,Other-service,Not-in-family,,Male,0,0,30,United-States,<=50K
6067a,47,47,Local-gov,Local-gov,56482,4.751910066,,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,Black,Male,7688,0,50,United-States,>50K
6177a,27,27,Private,Private,269354,5.430323429,,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,25,*,<=50K
6929a,46,46,Self-emp-not-inc,Self-emp-not-inc,110015,5.041451903,,7th-8th,4,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,75,Greece,<=50K
7192a,52,52,Private,Private,172493,5.236771476,,HS-grad,9,Never-married,Sales,Not-in-family,White,Female,0,0,36,United-States,<=50K
7278a,37,37,Local-gov,Local-gov,108540,5.035589817,,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
7509a,42,42,Private,Private,211860,5.326048968,,HS-grad,9,Separated,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,<=50K
7592a,36,36,Private,Private,172256,5.236174358,,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,44,United-States,>50K
7841a,38,38,Private,Private,120074,5.079448978,,Bachelors,13,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,50,United-States,>50K
8025a,22,22,Private,Private,112847,5.052490018,,HS-grad,9,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,Male,0,0,40,United-States,<=50K
8188a,68,68,Private,Private,224338,5.350902844,,Assoc-voc,11,Widowed,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K
8526a,50,50,Self-emp-not-inc,Self-emp-not-inc,57758,4.761612146,,Assoc-voc,11,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States,>50K
9103a,68,68,Private,Private,201732,5.304774794,,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
9241a,26,26,Private,Private,262656,5.419387326,,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K
9485a,48,48,?,?,266337,5.425431504,,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,0,0,40,United-States,<=50K
9604a,36,36,Private,Private,272944,5.436073552,,HS-grad,9,Never-married,Transport-moving,Not-in-family,White,Male,0,0,45,United-States,<=50K
9628a,41,41,Private,Private,277192,5.442780692,,5th-6th,3,Married-civ-spouse,Farming-fishing,Wife,White,Female,0,0,40,Mexico,<=50K
9800a,52,52,Private,Private,84278,4.925714221,,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688,0,55,*,>50K
9890a,22,22,Private,Private,219086,5.340614626,,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,55,United-States,<=50K
10075a,35,35,Private,Private,208378,5.318851865,,12th,8,Separated,Machine-op-inspct,Unmarried,White,Female,0,0,40,United-States,<=50K
10626a,48,48,Self-emp-inc,Self-emp-inc,191277,5.281662752,,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
10632a,20,20,Private,Private,94057,4.973391123,,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,15,United-States,<=50K
10772a,46,46,Self-emp-inc,Self-emp-inc,198660,5.298110431,,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,99999,0,72,United-States,>50K
11102a,67,67,Self-emp-not-inc,Self-emp-not-inc,195066,5.290181578,,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,50,United-States,<=50K
12049a,22,22,Private,Private,353039,5.547822684,,HS-grad,9,Never-married,Craft-repair,Unmarried,White,Female,0,0,36,Mexico,<=50K
12631a,32,32,Private,Private,186788,,,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K
13830a,34,34,Private,Private,150154,,,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,<=50K
13835a,23,23,Private,Private,109199,,,5th-6th,3,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,Mexico,<=50K
14105a,80,80,Private,Private,148623,,,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,35,United-States,>50K
14364a,23,23,?,?,55492,,,Assoc-voc,11,Never-married,?,Not-in-family,,Female,0,0,30,United-States,<=50K
14381a,25,25,Private,Private,123083,,,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K
14562a,53,53,Private,Private,55139,,,HS-grad,9,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,10,United-States,<=50K
14848a,51,51,Private,Private,165614,,,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,55,United-States,>50K
14920a,24,24,Private,Private,43387,,,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,55,England,>50K
15244a,39,39,Private,Private,187847,,,HS-grad,9,Divorced,Machine-op-inspct,Own-child,White,Male,0,0,50,United-States,<=50K
15290a,36,36,Private,Private,187167,,,Assoc-acdm,12,Married-civ-spouse,Sales,Wife,White,Female,0,0,40,United-States,<=50K
15352a,43,43,State-gov,State-gov,159449,,,HS-grad,9,Never-married,Craft-repair,Unmarried,White,Male,0,0,40,United-States,<=50K
15395a,47,47,Private,Private,144351,,,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,>50K
15542a,48,48,Self-emp-inc,Self-emp-inc,238966,,,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,<=50K
16327a,50,50,Private,Private,171225,,,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,40,Philippines,>50K
16388a,17,17,Private,Private,173807,,,11th,7,Never-married,Craft-repair,Own-child,White,Female,0,0,15,United-States,<=50K
17377a,20,20,Private,Private,199011,,,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,12,United-States,<=50K
17381a,41,41,Local-gov,Local-gov,97064,,,Assoc-voc,11,Divorced,Adm-clerical,Unmarried,White,Female,0,0,44,United-States,<=50K
17529a,53,53,Private,Private,283320,,,Bachelors,13,Divorced,Tech-support,Not-in-family,White,Female,0,0,40,United-States,<=50K
18154a,34,34,Private,Private,101345,,,Bachelors,13,Married-civ-spouse,Sales,Wife,White,Female,0,0,40,United-States,>50K
18765a,52,52,Self-emp-inc,Self-emp-inc,561489,,,Masters,14,Divorced,Exec-managerial,Not-in-family,Black,Female,0,0,50,United-States,<=50K
19063a,37,37,Private,Private,170174,,,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,46,United-States,>50K
19255a,50,50,Local-gov,Local-gov,425804,,,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,>50K
19453a,36,36,Private,Private,198587,,,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50K
19693a,26,26,Local-gov,Local-gov,220656,,,Bachelors,13,Never-married,Prof-specialty,Own-child,Black,Male,0,0,38,England,<=50K
19911a,36,36,Private,Private,132879,,,HS-grad,9,Divorced,Exec-managerial,Unmarried,White,Male,0,0,45,United-States,<=50K
20565a,30,30,State-gov,State-gov,270218,,,Bachelors,13,Never-married,Adm-clerical,Own-child,Black,Female,0,0,40,United-States,<=50K
20772a,23,23,Private,Private,210526,,,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,<=50K
20866a,60,60,Private,Private,43235,,,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,>50K
21026a,19,19,Private,Private,530454,,,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,0,50,United-States,<=50K
21208a,26,26,Private,Private,202091,,,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,<=50K
21276a,23,23,Private,Private,167424,,,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,35,United-States,<=50K
21771a,23,23,Federal-gov,Federal-gov,53245,,,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50K
22622a,43,43,Private,Private,112967,,,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,<=50K
22820a,32,32,Local-gov,Local-gov,191731,,,Some-college,10,Never-married,Adm-clerical,Unmarried,Black,Female,0,0,40,United-States,<=50K
22836a,61,61,Private,Private,26254,,,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K
23677a,32,32,State-gov,State-gov,206051,,,Some-college,10,,Farming-fishing,Own-child,White,Male,0,0,50,United-States,<=50K
23902a,40,40,Private,Private,140559,,,HS-grad,9,Married-civ-spouse,Priv-house-serv,Wife,White,Female,0,0,45,United-States,<=50K
23949a,77,77,Private,Private,123959,,,HS-grad,9,Widowed,Adm-clerical,Not-in-family,White,Female,0,0,32,United-States,<=50K
24060a,19,19,Private,Private,84610,,,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,30,United-States,<=50K
24635a,39,39,Private,Private,341672,,,Assoc-voc,11,Married-civ-spouse,Tech-support,Husband,Asian-Pac-Islander,Male,0,0,40,Philippines,<=50K
24694a,22,22,Private,Private,82393,,,,5,Never-married,Handlers-cleaners,Own-child,Asian-Pac-Islander,Male,0,0,40,Philippines,<=50K
24770a,19,19,Private,Private,175507,,,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,0,30,United-States,<=50K
24816a,50,50,Private,Private,23686,,,Some-college,10,Married-civ-spouse,Adm-clerical,Other-relative,White,Female,0,0,35,United-States,>50K
24856a,25,25,Private,Private,44363,,,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,35,United-States,<=50K
24938a,44,44,Private,Private,192878,,,Bachelors,13,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,>50K
24991a,54,54,Private,Private,88019,,,Some-college,10,Divorced,Transport-moving,Not-in-family,White,Male,0,0,55,United-States,<=50K
25482a,68,68,Self-emp-inc,Self-emp-inc,182131,,,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,10605,0,20,United-States,>50K
25544a,26,26,Private,Private,358124,,,HS-grad,9,Never-married,Other-service,Other-relative,Black,Female,0,0,40,United-States,<=50K
25650a,37,37,Private,Private,189674,,,Bachelors,13,Separated,Exec-managerial,Unmarried,Black,Female,0,0,40,United-States,<=50K
26182a,46,46,Private,Private,501671,,,10th,6,Divorced,Machine-op-inspct,Unmarried,Black,Male,0,0,40,United-States,<=50K
27043a,26,26,Private,Private,369166,,,Some-college,10,Never-married,Farming-fishing,Other-relative,White,Female,0,0,65,United-States,<=50K
28123a,26,26,Private,Private,37379,,,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,45,United-States,<=50K
28540a,27,27,Private,Private,279960,,,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K
28600a,31,31,Private,Private,176969,,,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,55,United-States,<=50K
28961a,36,36,Private,Private,204590,,,Bachelors,13,Divorced,Prof-specialty,Unmarried,Black,Female,0,213,40,United-States,<=50K
29135a,47,47,Private,Private,278900,,,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
30192a,69,69,Self-emp-not-inc,Self-emp-not-inc,92472,,,10th,6,,Farming-fishing,Not-in-family,White,Male,3273,0,45,United-States,<=50K
30232a,64,64,Local-gov,Local-gov,116620,,,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,25,United-States,<=50K
30690a,27,27,Local-gov,Local-gov,85918,,,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,68,United-States,<=50K
30846a,46,46,Private,Private,133616,,,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
30958a,45,45,Private,Private,179659,,,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,3103,0,40,United-States,>50K
31686a,60,60,Private,Private,389254,,,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,<=50K
31903a,34,34,Private,Private,164280,,,10th,6,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,Portugal,<=50K
32093a,39,39,Private,Private,30529,,,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1887,40,United-States,>50K
32205a,23,23,Local-gov,Local-gov,162551,,,Bachelors,13,Never-married,Prof-specialty,Own-child,Asian-Pac-Islander,Female,0,0,35,China,<=50K
938a,41,41,Private,Private,132222,5.121303722,,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,40,United-States,>50K
1711a,73,73,Private,Private,267408,5.427174396,,HS-grad,9,Widowed,Sales,Other-relative,White,Female,0,0,15,United-States,<=50K
2194a,30,30,Private,Private,488720,5.689060112,,,5,Married-civ-spouse,Handlers-cleaners,Other-relative,White,Male,0,0,40,Mexico,<=50K
2797a,47,47,Self-emp-inc,Self-emp-inc,139268,5.143851339,,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,60,United-States,>50K
2847a,48,48,Private,Private,75104,4.875663068,,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,<=50K
2973a,35,35,Private,Private,182074,5.260247933,,HS-grad,9,Divorced,Handlers-cleaners,Own-child,White,Male,0,0,35,United-States,<=50K
3345a,20,20,Private,Private,195770,5.291746141,,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,0,0,26,United-States,<=50K
3398a,47,47,Federal-gov,Federal-gov,55377,4.743329425,,HS-grad,9,Never-married,Machine-op-inspct,Own-child,Black,Male,0,0,40,United-States,<=50K
3427a,39,39,Local-gov,Local-gov,357173,5.552878622,,Assoc-acdm,12,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,59,United-States,<=50K
3695a,37,37,Local-gov,Local-gov,31023,4.491683793,,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,<=50K
3863a,41,41,Private,Private,121718,5.085354808,,Assoc-voc,11,Married-civ-spouse,Tech-support,Husband,White,Male,0,1848,48,United-States,>50K
3907a,53,53,Local-gov,Local-gov,549341,5.739842014,,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,35,United-States,<=50K
5808a,17,17,Private,Private,221403,5.345183501,,12th,8,Never-married,Other-service,Own-child,Black,Male,0,0,18,United-States,<=50K
8001a,33,33,Private,Private,156192,5.193658786,,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States,>50K
9089a,37,37,Private,Private,108913,5.037079721,,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States,<=50K
9152a,20,20,Private,Private,91939,4.963499776,,HS-grad,9,Never-married,Adm-clerical,Not-in-family,Black,Female,0,1721,30,United-States,<=50K
9331a,26,26,Private,Private,55860,4.747100931,,Some-college,10,Never-married,Adm-clerical,Not-in-family,Black,Female,0,0,40,United-States,<=50K
9835a,29,29,Private,Private,193125,5.285838497,,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States,<=50K
10779a,24,24,Private,Private,142022,5.152355624,,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,50,United-States,<=50K
11216a,37,37,Private,Private,125550,5.098816717,,HS-grad,9,Never-married,Tech-support,Not-in-family,White,Female,14084,0,35,United-States,>50K
11389a,23,23,Private,Private,82393,4.915890316,,,5,Never-married,Other-service,Own-child,Asian-Pac-Islander,Male,0,0,20,Philippines,<=50K
11646a,18,18,Private,Private,318082,5.502539093,,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,35,United-States,<=50K
12192a,27,27,Self-emp-not-inc,Self-emp-not-inc,141795,,,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,30,United-States,<=50K
12842a,52,52,Private,Private,159670,,,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K
12888a,50,50,Self-emp-not-inc,Self-emp-not-inc,32372,,,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,30,United-States,<=50K
13495a,35,35,Federal-gov,Federal-gov,153633,,,Some-college,10,Never-married,Other-service,Unmarried,Black,Female,0,0,40,United-States,<=50K
13546a,31,31,Private,Private,487742,,,Some-college,10,Separated,Sales,Unmarried,White,Female,0,0,40,United-States,<=50K
13882a,38,38,Private,Private,210866,,,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,44,United-States,>50K
