ifa,age,workclass,fnlwgt,education,income,dt_1,dt_2
19467a,50,Local-gov,117496,HS-grad,>50K,10/19/19 6:56,10/29/19 6:56
19468a,45,Self-emp-inc,32356,Bachelors,<=50K,10/19/19 7:27,10/29/19 7:27
19469a,17,Private,206506,10th,<=50K,10/19/19 8:50,10/26/19 8:50
19470a,38,Private,218729,HS-grad,<=50K,10/19/19 8:58,10/28/19 8:58
19471a,43,Private,52498,HS-grad,>50K,10/19/19 9:52,10/23/19 9:52
19472a,22,Private,136767,HS-grad,<=50K,10/19/19 11:59,10/22/19 11:59
19473a,63,Private,219540,HS-grad,<=50K,10/19/19 22:40,10/21/19 22:40
19474a,36,Private,114059,Bachelors,<=50K,10/19/19 23:01,10/31/19 23:01
19475a,56,Private,247337,Bachelors,>50K,10/20/19 0:48,10/22/19 0:48
19476a,43,State-gov,310969,Prof-school,<=50K,10/20/19 1:18,10/22/19 1:18
19477a,41,Private,171546,Bachelors,>50K,10/20/19 1:21,10/25/19 1:21
19478a,41,Private,217455,HS-grad,<=50K,10/20/19 1:22,10/31/19 1:22
19479a,36,Private,410489,Bachelors,<=50K,10/20/19 4:12,10/30/19 4:12
19480a,59,Private,146391,Doctorate,>50K,10/20/19 4:31,10/29/19 4:31
19481a,46,Local-gov,165484,Assoc-acdm,>50K,10/20/19 6:07,11/1/19 6:07
19482a,23,Private,184271,Bachelors,<=50K,10/20/19 6:43,11/1/19 6:43
19483a,46,Self-emp-not-inc,231347,Some-college,<=50K,10/20/19 6:49,10/23/19 6:49
19484a,53,Private,95469,Bachelors,>50K,10/20/19 7:25,10/27/19 7:25
19485a,47,Private,244025,HS-grad,<=50K,10/20/19 8:03,10/30/19 8:03
19486a,46,Federal-gov,46537,Masters,<=50K,10/20/19 9:24,10/31/19 9:24
19487a,47,Private,205730,HS-grad,>50K,10/20/19 16:28,10/30/19 16:28
19488a,29,Private,383745,HS-grad,>50K,10/20/19 20:14,10/27/19 20:14
19489a,32,Private,328199,Assoc-voc,<=50K,10/20/19 22:56,10/27/19 22:56
19490a,,Private,84553,HS-grad,<=50K,10/21/19 1:23,10/28/19 1:23
19491a,63,Private,221072,Bachelors,<=50K,10/21/19 1:38,10/27/19 1:38
19492a,23,Private,123983,Assoc-voc,<=50K,10/21/19 2:39,10/28/19 2:39
19493a,76,?,191024,Bachelors,<=50K,10/21/19 3:12,10/23/19 3:12
19494a,23,Private,167868,Assoc-voc,<=50K,10/21/19 3:52,11/1/19 3:52
19495a,44,Private,225879,Some-college,>50K,10/21/19 5:28,10/29/19 5:28
19496a,81,Self-emp-inc,247232,10th,<=50K,10/21/19 6:08,10/31/19 6:08
19497a,17,Private,143791,10th,<=50K,10/21/19 6:15,10/29/19 6:15
19498a,56,Private,177271,Assoc-voc,>50K,10/21/19 6:53,10/23/19 6:53
19499a,58,Federal-gov,129786,10th,<=50K,10/21/19 7:32,10/31/19 7:32
19500a,45,Private,31339,Bachelors,>50K,10/21/19 8:10,11/2/19 8:10
19501a,25,Private,236267,HS-grad,<=50K,10/21/19 8:36,10/24/19 8:36
19502a,36,Private,130620,Bachelors,>50K,10/21/19 8:42,11/1/19 8:42
19503a,32,Private,208180,Assoc-voc,>50K,10/21/19 8:44,10/24/19 8:44
19504a,25,Private,292058,HS-grad,<=50K,10/21/19 9:02,11/1/19 9:02
19505a,29,Federal-gov,142712,Some-college,>50K,10/21/19 10:22,10/28/19 10:22
19506a,23,Private,119665,HS-grad,<=50K,10/21/19 18:07,11/1/19 18:07
19507a,41,Private,116825,Masters,>50K,10/21/19 18:57,10/30/19 18:57
19508a,48,State-gov,201177,Bachelors,>50K,10/21/19 19:52,10/24/19 19:52
19509a,29,Private,118337,HS-grad,<=50K,10/21/19 23:59,10/23/19 23:59
19510a,27,?,173800,Masters,<=50K,10/22/19 0:14,10/30/19 0:14
19511a,55,Private,289257,Some-college,<=50K,10/22/19 4:13,10/27/19 4:13
19512a,30,Private,190912,11th,<=50K,10/22/19 4:38,11/1/19 4:38
19513a,45,Private,140581,Some-college,<=50K,10/22/19 5:32,10/24/19 5:32
19514a,50,Private,174102,HS-grad,<=50K,10/22/19 5:46,11/1/19 5:46
19515a,22,Private,316509,HS-grad,<=50K,10/22/19 6:37,10/29/19 6:37
19516a,80,Local-gov,20101,HS-grad,<=50K,10/22/19 6:41,10/31/19 6:41
19517a,30,Private,187279,HS-grad,<=50K,10/22/19 7:49,11/3/19 7:49
19518a,20,Private,259496,Some-college,<=50K,10/22/19 9:42,10/31/19 9:42
19519a,29,Self-emp-not-inc,181466,HS-grad,<=50K,10/22/19 10:14,10/24/19 10:14
19520a,56,Private,178202,Some-college,<=50K,10/23/19 1:25,10/27/19 1:25
19521a,63,Private,188976,Bachelors,<=50K,10/23/19 1:44,10/27/19 1:44
19522a,20,Private,203027,HS-grad,<=50K,10/23/19 5:29,11/3/19 5:29
19523a,38,State-gov,142022,HS-grad,<=50K,10/23/19 6:14,10/26/19 6:14
19524a,31,Private,119033,HS-grad,<=50K,10/23/19 7:45,10/29/19 7:45
19525a,21,Private,216181,Some-college,<=50K,10/23/19 9:01,10/26/19 9:01
19526a,47,Private,178341,10th,>50K,10/23/19 11:28,11/2/19 11:28
19527a,25,Local-gov,244408,Bachelors,<=50K,10/23/19 11:30,11/3/19 11:30
19528a,31,Private,198953,Some-college,<=50K,10/23/19 13:02,10/29/19 13:02
19529a,28,Private,173110,HS-grad,<=50K,10/23/19 18:25,10/25/19 18:25
19530a,38,Private,66326,HS-grad,<=50K,10/23/19 22:45,11/4/19 22:45
19531a,30,Local-gov,181091,Bachelors,<=50K,10/24/19 0:54,11/2/19 0:54
19532a,39,Self-emp-inc,135500,HS-grad,>50K,10/24/19 3:02,11/3/19 3:02
19533a,27,Private,133929,Bachelors,<=50K,10/24/19 5:03,11/5/19 5:03
19534a,26,Private,86483,Some-college,<=50K,10/24/19 5:53,10/29/19 5:53
19535a,47,Private,167787,HS-grad,<=50K,10/24/19 8:14,11/1/19 8:14
19536a,27,Self-emp-not-inc,208577,HS-grad,<=50K,10/24/19 8:37,10/31/19 8:37
19537a,43,Private,216697,Some-college,<=50K,10/24/19 9:13,10/31/19 9:13
19538a,32,Local-gov,118457,Bachelors,<=50K,10/24/19 9:19,11/1/19 9:19
19539a,20,Private,298635,Some-college,<=50K,10/24/19 11:02,10/29/19 11:02
19540a,21,Local-gov,212780,12th,<=50K,10/24/19 11:09,10/26/19 11:09
19541a,32,Private,159187,Assoc-voc,<=50K,10/24/19 18:02,10/30/19 18:02
19542a,37,Private,237995,Assoc-voc,<=50K,10/24/19 18:24,10/28/19 18:24
19543a,45,Private,160724,HS-grad,<=50K,10/24/19 19:48,10/30/19 19:48
19544a,37,Self-emp-inc,183800,Assoc-acdm,>50K,10/24/19 23:23,10/30/19 23:23
19545a,54,?,185936,,<=50K,10/25/19 0:43,11/5/19 0:43
19546a,24,Private,161198,Bachelors,<=50K,10/25/19 0:58,11/4/19 0:58
19547a,28,?,113635,11th,<=50K,10/25/19 1:21,11/2/19 1:21
19548a,23,Private,214542,Some-college,<=50K,10/25/19 2:26,11/5/19 2:26
19549a,54,?,172991,HS-grad,<=50K,10/25/19 5:02,10/28/19 5:02
19550a,40,Private,203761,HS-grad,>50K,10/25/19 5:14,11/3/19 5:14
19551a,38,Private,161141,Some-college,>50K,10/25/19 5:20,10/29/19 5:20
19552a,71,Private,180117,10th,<=50K,10/25/19 6:54,10/31/19 6:54
19553a,51,Private,317396,Some-college,<=50K,10/25/19 7:44,10/28/19 7:44
19554a,52,Self-emp-not-inc,237868,Some-college,<=50K,10/25/19 9:38,11/6/19 9:38
19555a,30,Private,323069,Bachelors,<=50K,10/25/19 9:39,10/29/19 9:39
19556a,34,Private,181091,HS-grad,>50K,10/25/19 11:25,11/6/19 11:25
19557a,38,Private,309122,10th,<=50K,10/25/19 16:42,11/2/19 16:42
19558a,43,Federal-gov,105936,Assoc-voc,>50K,10/25/19 19:22,11/2/19 19:22
19559a,43,Private,40024,11th,<=50K,10/25/19 19:53,11/6/19 19:53
19560a,36,Federal-gov,192443,Some-college,>50K,10/25/19 20:37,11/6/19 20:37
19561a,24,State-gov,184216,Some-college,<=50K,10/25/19 22:45,11/5/19 22:45
19562a,29,?,256211,1st-4th,<=50K,10/25/19 22:59,11/6/19 22:59
19563a,55,Private,205422,10th,<=50K,10/26/19 2:00,10/28/19 2:00
19564a,51,Private,22211,Masters,>50K,10/26/19 2:43,11/7/19 2:43
19565a,43,Local-gov,196308,HS-grad,<=50K,10/26/19 4:39,10/29/19 4:39
19566a,28,Private,389713,HS-grad,<=50K,10/26/19 4:39,11/5/19 4:39
19567a,54,Private,82566,Assoc-acdm,<=50K,10/26/19 5:46,10/29/19 5:46
19568a,47,Private,199058,Some-college,>50K,10/26/19 8:46,11/5/19 8:46
19569a,47,Private,160440,Bachelors,>50K,10/26/19 19:06,10/31/19 19:06
19570a,47,Private,76034,Some-college,>50K,10/26/19 20:28,10/30/19 20:28
19571a,38,Private,188503,Some-college,<=50K,10/26/19 20:39,10/30/19 20:39
19572a,60,Self-emp-not-inc,92845,5th-6th,<=50K,10/26/19 21:30,11/5/19 21:30
19573a,19,Private,29083,HS-grad,<=50K,10/26/19 22:12,10/31/19 22:12
19574a,22,Private,234474,Some-college,<=50K,10/26/19 22:23,11/3/19 22:23
19575a,55,Local-gov,107308,Masters,>50K,10/26/19 23:02,11/5/19 23:02
19576a,44,Private,111891,Some-college,<=50K,10/27/19 0:15,11/1/19 0:15
19577a,53,Self-emp-not-inc,145419,1st-4th,>50K,10/27/19 0:23,11/2/19 0:23
19578a,44,Local-gov,193425,Masters,>50K,10/27/19 1:47,11/2/19 1:47
19579a,28,Federal-gov,188278,Bachelors,<=50K,10/27/19 2:43,11/7/19 2:43
19580a,30,Local-gov,303485,Some-college,<=50K,10/27/19 3:22,11/7/19 3:22
19581a,39,Local-gov,67187,HS-grad,<=50K,10/27/19 5:48,11/2/19 5:48
19582a,43,State-gov,114508,HS-grad,<=50K,10/27/19 6:54,10/31/19 6:54
19583a,24,Private,204172,Bachelors,<=50K,10/27/19 6:55,11/2/19 6:55
19584a,27,Local-gov,162973,Assoc-voc,<=50K,10/27/19 7:08,10/31/19 7:08
19585a,64,Self-emp-not-inc,192695,5th-6th,<=50K,10/27/19 7:11,11/2/19 7:11
19586a,41,Local-gov,89172,Some-college,>50K,10/27/19 9:37,10/29/19 9:37
19587a,28,Private,163320,HS-grad,<=50K,10/27/19 12:47,10/30/19 12:47
19588a,61,Private,128230,HS-grad,<=50K,10/27/19 19:10,11/4/19 19:10
19589a,27,Private,246440,11th,<=50K,10/27/19 20:51,11/5/19 20:51
19590a,49,Private,50567,Some-college,<=50K,10/27/19 20:53,10/30/19 20:53
19591a,20,Private,117476,Some-college,<=50K,10/27/19 22:25,11/8/19 22:25
19592a,41,Private,315834,Bachelors,<=50K,10/28/19 1:08,11/5/19 1:08
19593a,28,Local-gov,214881,HS-grad,<=50K,10/28/19 2:59,11/2/19 2:59
19594a,36,Private,195516,HS-grad,<=50K,10/28/19 3:15,11/6/19 3:15
19595a,44,Self-emp-not-inc,218653,Bachelors,<=50K,10/28/19 3:36,11/4/19 3:36
19596a,51,Private,87205,Bachelors,>50K,10/28/19 4:23,11/3/19 4:23
19597a,40,Private,164647,Some-college,<=50K,10/28/19 4:52,11/6/19 4:52
19598a,19,Private,129151,HS-grad,<=50K,10/28/19 4:53,10/31/19 4:53
19599a,54,Private,319697,Some-college,<=50K,10/28/19 5:50,10/31/19 5:50
19600a,55,Self-emp-not-inc,193374,HS-grad,<=50K,10/28/19 6:42,11/3/19 6:42
19601a,57,Private,167864,Assoc-voc,<=50K,10/28/19 7:08,11/5/19 7:08
19602a,29,Private,197932,Some-college,<=50K,10/28/19 8:19,10/30/19 8:19
19603a,51,Private,102904,HS-grad,<=50K,10/28/19 8:22,11/7/19 8:22
19604a,44,Private,216907,HS-grad,<=50K,10/28/19 9:25,11/8/19 9:25
19605a,35,Local-gov,331395,Assoc-voc,<=50K,10/28/19 10:49,11/5/19 10:49
19606a,40,Private,171424,HS-grad,<=50K,10/28/19 11:02,11/6/19 11:02
19607a,46,Private,35406,7th-8th,<=50K,10/28/19 15:51,11/2/19 15:51
19608a,25,Private,238964,Some-college,>50K,10/28/19 16:57,11/6/19 16:57
19609a,33,Private,213002,Bachelors,<=50K,10/28/19 17:12,11/4/19 17:12
19610a,32,Private,27882,Some-college,<=50K,10/28/19 18:54,10/30/19 18:54
19611a,22,Private,340543,HS-grad,<=50K,10/28/19 19:12,10/31/19 19:12
19612a,39,Private,70240,Some-college,<=50K,10/28/19 21:56,11/9/19 21:56
19613a,18,Self-emp-not-inc,87169,HS-grad,<=50K,10/29/19 2:32,11/6/19 2:32
19614a,43,Private,253759,HS-grad,<=50K,10/29/19 4:19,10/31/19 4:19
19615a,46,Private,194431,HS-grad,<=50K,10/29/19 5:10,11/8/19 5:10
19616a,63,Private,137843,Some-college,>50K,10/29/19 5:56,11/5/19 5:56
19617a,40,?,170649,Some-college,<=50K,10/29/19 7:36,11/8/19 7:36
19618a,59,Private,182460,Bachelors,>50K,10/29/19 7:55,10/31/19 7:55
19619a,40,Local-gov,26929,Masters,<=50K,10/29/19 8:02,11/1/19 8:02
19620a,23,Private,399022,HS-grad,<=50K,10/29/19 8:42,11/8/19 8:42
19621a,64,?,50171,HS-grad,<=50K,10/29/19 9:51,11/6/19 9:51
19622a,36,Private,218490,Assoc-voc,<=50K,10/29/19 17:18,11/8/19 17:18
19623a,48,Private,164423,HS-grad,<=50K,10/29/19 18:46,11/6/19 18:46
19624a,43,Private,124436,Some-college,>50K,10/29/19 20:50,11/6/19 20:50
19625a,18,Private,60981,10th,<=50K,10/29/19 20:54,11/6/19 20:54
19626a,17,Private,70868,11th,<=50K,10/29/19 22:39,11/9/19 22:39
19627a,36,Private,150601,Prof-school,<=50K,10/29/19 22:49,10/31/19 22:49
19628a,53,Private,228500,HS-grad,>50K,10/29/19 23:04,11/5/19 23:04
19629a,36,State-gov,76767,Some-college,<=50K,10/30/19 0:22,11/8/19 0:22
19630a,20,Private,218178,HS-grad,<=50K,10/30/19 1:00,11/4/19 1:00
19631a,22,Private,615367,Bachelors,<=50K,10/30/19 2:09,11/8/19 2:09
19632a,34,Private,150324,Bachelors,>50K,10/30/19 2:23,11/6/19 2:23
19633a,39,Private,51264,11th,<=50K,10/30/19 2:25,11/6/19 2:25
19634a,57,Private,197642,Some-college,<=50K,10/30/19 2:46,11/6/19 2:46
19635a,30,Private,229895,10th,<=50K,10/30/19 3:57,11/8/19 3:57
19636a,37,Private,167415,Prof-school,>50K,10/30/19 6:10,11/8/19 6:10
19637a,51,Private,166934,HS-grad,>50K,10/30/19 6:37,11/11/19 6:37
19638a,38,Private,305597,HS-grad,<=50K,10/30/19 7:24,11/11/19 7:24
19639a,34,Private,301591,HS-grad,<=50K,10/30/19 7:32,11/3/19 7:32
19640a,47,Federal-gov,229646,HS-grad,<=50K,10/30/19 8:23,11/10/19 8:23
19641a,28,Self-emp-not-inc,51461,HS-grad,<=50K,10/30/19 9:26,11/9/19 9:26
19642a,25,Private,206600,10th,<=50K,10/30/19 9:52,11/2/19 9:52
19643a,25,Private,176836,Some-college,<=50K,10/30/19 17:41,11/5/19 17:41
19644a,50,Private,204447,Masters,>50K,10/30/19 18:43,11/1/19 18:43
19645a,50,Private,33304,HS-grad,>50K,10/30/19 20:59,11/3/19 20:59
19646a,43,Private,174051,Bachelors,<=50K,10/30/19 21:19,11/4/19 21:19
19647a,27,Private,38918,HS-grad,<=50K,10/30/19 21:41,11/7/19 21:41
19648a,32,Private,170017,HS-grad,<=50K,10/30/19 22:54,11/2/19 22:54
19649a,44,Private,98466,10th,<=50K,10/30/19 23:59,11/2/19 23:59
19650a,19,Private,188864,HS-grad,<=50K,10/31/19 0:08,11/12/19 0:08
19651a,53,Self-emp-inc,137815,Some-college,>50K,10/31/19 0:54,11/8/19 0:54
19652a,21,Private,43475,HS-grad,<=50K,10/31/19 1:03,11/5/19 1:03
19653a,26,Private,557236,HS-grad,<=50K,10/31/19 2:38,11/7/19 2:38
19654a,68,Private,32779,HS-grad,<=50K,10/31/19 2:44,11/10/19 2:44
19655a,31,Private,161765,Some-college,<=50K,10/31/19 4:37,11/10/19 4:37
19656a,32,Private,207668,Bachelors,>50K,10/31/19 6:03,11/2/19 6:03
19657a,33,Private,171215,Masters,<=50K,10/31/19 6:06,11/12/19 6:06
19658a,49,?,52590,HS-grad,<=50K,10/31/19 6:11,11/2/19 6:11
19659a,24,Private,183751,11th,<=50K,10/31/19 8:43,11/9/19 8:43
19660a,30,Private,149507,HS-grad,<=50K,10/31/19 9:04,11/4/19 9:04
19661a,49,Private,98092,HS-grad,>50K,10/31/19 10:27,11/6/19 10:27
19662a,18,Private,123714,11th,<=50K,10/31/19 10:42,11/9/19 10:42
19663a,30,State-gov,190385,Some-college,<=50K,10/31/19 11:12,11/8/19 11:12
19664a,51,Private,334273,HS-grad,<=50K,10/31/19 11:52,11/10/19 11:52
19665a,52,Private,343440,Some-college,<=50K,10/31/19 21:37,11/6/19 21:37
19666a,52,Private,208302,HS-grad,<=50K,10/31/19 23:12,11/7/19 23:12
19667a,23,Local-gov,280164,HS-grad,<=50K,10/31/19 23:36,11/12/19 23:36
19668a,23,Self-emp-not-inc,174714,10th,<=50K,11/1/19 0:55,11/10/19 0:55
19669a,36,Private,184655,HS-grad,<=50K,11/1/19 3:57,11/8/19 3:57
19670a,19,Private,140459,11th,<=50K,11/1/19 18:48,11/10/19 18:48
19671a,53,Self-emp-not-inc,108815,HS-grad,<=50K,11/1/19 23:50,11/7/19 23:50
19672a,17,Private,152652,11th,<=50K,11/3/19 3:58,11/11/19 3:58
19673a,69,Private,269499,HS-grad,<=50K,11/3/19 12:43,11/8/19 12:43
19674a,46,Local-gov,33373,Bachelors,<=50K,11/3/19 16:24,11/6/19 16:24
19675a,33,Private,243674,HS-grad,<=50K,11/3/19 17:53,11/8/19 17:53
19676a,40,Private,225432,Some-college,<=50K,11/3/19 18:00,11/12/19 18:00
19677a,56,Private,215839,Some-college,<=50K,11/3/19 20:31,11/7/19 20:31
19678a,29,Local-gov,195520,Masters,<=50K,11/4/19 5:56,11/9/19 5:56
19679a,41,Private,70092,Some-college,<=50K,11/4/19 7:39,11/13/19 7:39
19680a,22,Private,189888,HS-grad,<=50K,11/4/19 10:13,11/16/19 10:13
19681a,28,Private,64307,7th-8th,<=50K,11/4/19 11:05,11/14/19 11:05
19682a,31,Private,94235,Bachelors,<=50K,11/4/19 19:48,11/8/19 19:48
19683a,35,Private,62333,Bachelors,<=50K,11/5/19 3:25,11/7/19 3:25
19684a,38,Private,260997,Some-college,<=50K,11/5/19 3:43,11/16/19 3:43
19685a,17,Private,146268,10th,<=50K,11/5/19 6:16,11/15/19 6:16
19686a,39,Private,147258,10th,<=50K,11/5/19 7:10,11/9/19 7:10
19687a,27,Self-emp-not-inc,207948,Some-college,<=50K,11/5/19 8:39,11/17/19 8:39
19688a,50,Private,180607,HS-grad,<=50K,11/5/19 8:57,11/15/19 8:57
19689a,56,Local-gov,104996,HS-grad,<=50K,11/5/19 10:38,11/7/19 10:38
19690a,80,Self-emp-not-inc,562336,HS-grad,<=50K,11/5/19 11:12,11/11/19 11:12
19691a,38,Self-emp-not-inc,334366,Some-college,<=50K,11/5/19 17:59,11/13/19 17:59
19692a,52,State-gov,142757,HS-grad,>50K,11/5/19 20:41,11/10/19 20:41
19693a,26,Local-gov,220656,Bachelors,<=50K,11/5/19 21:58,11/12/19 21:58
19694a,43,Private,96483,HS-grad,<=50K,11/5/19 22:45,11/8/19 22:45
19695a,45,Private,51744,Bachelors,<=50K,11/5/19 23:30,11/14/19 23:30
19696a,41,Self-emp-inc,114967,Assoc-voc,>50K,11/6/19 1:53,11/18/19 1:53
19697a,30,Private,393965,Assoc-acdm,<=50K,11/6/19 4:45,11/16/19 4:45
19698a,24,Private,41838,Some-college,<=50K,11/6/19 4:56,11/12/19 4:56
19699a,43,Local-gov,143046,Some-college,<=50K,11/6/19 4:59,11/12/19 4:59
19700a,44,Private,209174,Bachelors,>50K,11/6/19 5:50,11/15/19 5:50
19701a,54,Private,183248,HS-grad,<=50K,11/6/19 7:30,11/15/19 7:30
19702a,23,Private,102942,Bachelors,>50K,11/6/19 21:53,11/11/19 21:53
19703a,33,Self-emp-not-inc,427474,HS-grad,>50K,11/6/19 23:40,11/12/19 23:40
19704a,18,Private,338632,11th,<=50K,11/7/19 0:09,11/17/19 0:09
19705a,38,Private,89559,Some-college,<=50K,11/7/19 0:14,11/16/19 0:14
19706a,41,Self-emp-not-inc,32533,Assoc-voc,<=50K,11/7/19 0:24,11/11/19 0:24
19707a,22,?,255969,12th,<=50K,11/7/19 0:59,11/12/19 0:59
19708a,66,Self-emp-inc,112376,7th-8th,>50K,11/7/19 1:43,11/19/19 1:43
19709a,70,?,346053,HS-grad,<=50K,11/7/19 2:24,11/16/19 2:24
19710a,58,Self-emp-not-inc,147653,10th,>50K,11/7/19 3:19,11/18/19 3:19
19711a,60,Self-emp-not-inc,44915,Masters,<=50K,11/7/19 6:39,11/15/19 6:39
19712a,24,Local-gov,111450,10th,<=50K,11/7/19 20:21,11/16/19 20:21
19713a,61,Private,171429,11th,<=50K,11/8/19 1:16,11/12/19 1:16
19714a,35,Local-gov,190964,Bachelors,<=50K,11/8/19 3:04,11/20/19 3:04
19715a,19,Private,109005,Some-college,<=50K,11/8/19 4:14,11/16/19 4:14
19716a,52,Private,404453,HS-grad,<=50K,11/8/19 5:09,11/16/19 5:09
19717a,38,Self-emp-not-inc,280169,Bachelors,>50K,11/8/19 5:16,11/17/19 5:16
19718a,39,Self-emp-not-inc,163204,HS-grad,<=50K,11/8/19 6:00,11/11/19 6:00
19719a,33,Self-emp-not-inc,192256,Bachelors,<=50K,11/8/19 6:07,11/18/19 6:07
19720a,52,Private,181755,HS-grad,<=50K,11/8/19 8:38,11/13/19 8:38
19721a,41,Private,183105,HS-grad,<=50K,11/8/19 12:15,11/18/19 12:15
19722a,37,Private,335168,Some-college,<=50K,11/8/19 20:16,11/19/19 20:16
19723a,38,Local-gov,86643,Bachelors,>50K,11/8/19 21:38,11/15/19 21:38
19724a,27,Private,180262,Some-college,<=50K,11/8/19 22:31,11/18/19 22:31
19725a,38,Private,127865,Masters,<=50K,11/8/19 22:32,11/12/19 22:32
19726a,38,Self-emp-not-inc,146042,Bachelors,>50K,11/9/19 3:11,11/19/19 3:11
19727a,49,Self-emp-not-inc,102110,HS-grad,>50K,11/9/19 4:08,11/19/19 4:08
19728a,38,Private,152237,Bachelors,>50K,11/9/19 5:10,11/13/19 5:10
19729a,22,Private,202745,HS-grad,<=50K,11/9/19 6:45,11/16/19 6:45
19730a,40,Federal-gov,199303,Assoc-acdm,>50K,11/9/19 6:59,11/20/19 6:59
19731a,20,Private,266467,HS-grad,<=50K,11/9/19 7:10,11/17/19 7:10
19732a,34,Federal-gov,345259,Doctorate,<=50K,11/9/19 7:18,11/17/19 7:18
19733a,24,Private,204935,Masters,<=50K,11/9/19 8:56,11/13/19 8:56
19734a,58,Federal-gov,244830,Bachelors,>50K,11/9/19 9:36,11/13/19 9:36
19735a,24,Private,190457,Some-college,<=50K,11/9/19 11:47,11/21/19 11:47
19736a,43,Private,180138,HS-grad,<=50K,11/9/19 21:26,11/13/19 21:26
19737a,38,Private,166585,HS-grad,<=50K,11/9/19 22:28,11/20/19 22:28
19738a,42,Private,29962,HS-grad,<=50K,11/10/19 1:51,11/16/19 1:51
19739a,27,Private,191129,Some-college,<=50K,11/10/19 1:53,11/12/19 1:53
19740a,18,Private,378707,10th,<=50K,11/10/19 2:40,11/19/19 2:40
19741a,37,Private,116358,HS-grad,>50K,11/10/19 2:55,11/21/19 2:55
19742a,48,Private,240629,HS-grad,<=50K,11/10/19 3:34,11/19/19 3:34
19743a,40,Private,233320,7th-8th,<=50K,11/10/19 5:12,11/22/19 5:12
19744a,50,Self-emp-inc,302708,Bachelors,>50K,11/10/19 5:43,11/18/19 5:43
19745a,57,Private,29375,HS-grad,<=50K,11/10/19 5:45,11/16/19 5:45
19746a,36,Local-gov,137314,Some-college,>50K,11/10/19 6:21,11/21/19 6:21
19747a,41,Private,140886,HS-grad,<=50K,11/10/19 6:29,11/12/19 6:29
19748a,,Private,226968,7th-8th,<=50K,11/10/19 11:53,11/13/19 11:53
19749a,66,Private,151793,7th-8th,<=50K,11/10/19 18:29,11/15/19 18:29
19750a,34,Self-emp-not-inc,56460,HS-grad,<=50K,11/10/19 20:10,11/18/19 20:10
19751a,23,Private,72887,HS-grad,<=50K,11/10/19 23:01,11/13/19 23:01
19752a,35,Private,261646,HS-grad,<=50K,11/10/19 23:21,11/18/19 23:21
19753a,32,Private,178615,HS-grad,<=50K,11/11/19 3:59,11/23/19 3:59
19754a,33,Private,295589,Bachelors,>50K,11/11/19 4:24,11/19/19 4:24
19755a,32,Self-emp-inc,377836,Assoc-voc,<=50K,11/11/19 4:33,11/14/19 4:33
19756a,31,Private,56510,Some-college,<=50K,11/11/19 4:34,11/14/19 4:34
19757a,32,Self-emp-not-inc,337696,Some-college,<=50K,11/11/19 5:05,11/13/19 5:05
19758a,40,Private,183765,HS-grad,<=50K,11/11/19 5:53,11/15/19 5:53
19759a,27,Self-emp-not-inc,107846,HS-grad,<=50K,11/11/19 6:11,11/13/19 6:11
19760a,34,Local-gov,22641,HS-grad,<=50K,11/11/19 6:17,11/20/19 6:17
19761a,35,Private,204590,Assoc-voc,>50K,11/11/19 6:40,11/14/19 6:40
19762a,29,Private,114801,Some-college,<=50K,11/11/19 7:33,11/16/19 7:33
19763a,41,Private,190591,HS-grad,<=50K,11/11/19 8:16,11/19/19 8:16
19764a,33,State-gov,220066,Doctorate,>50K,11/11/19 8:17,11/15/19 8:17
19765a,22,?,228480,HS-grad,<=50K,11/11/19 11:11,11/13/19 11:11
19766a,52,Private,128378,Bachelors,>50K,11/11/19 19:20,11/23/19 19:20
19767a,20,Private,157595,HS-grad,<=50K,11/11/19 20:48,11/19/19 20:48
19768a,18,Local-gov,152171,11th,<=50K,11/11/19 21:37,11/17/19 21:37
19769a,63,Private,339755,Bachelors,>50K,11/11/19 23:10,11/15/19 23:10
19770a,49,Private,240841,7th-8th,<=50K,11/11/19 23:23,11/13/19 23:23
19771a,58,Private,94345,HS-grad,<=50K,11/11/19 23:25,11/23/19 23:25
19772a,23,Self-emp-not-inc,289116,HS-grad,<=50K,11/12/19 1:55,11/15/19 1:55
19773a,59,Private,176647,HS-grad,>50K,11/12/19 2:29,11/17/19 2:29
19774a,49,Self-emp-not-inc,79627,Some-college,<=50K,11/12/19 2:59,11/19/19 2:59
19775a,23,Local-gov,210781,Bachelors,<=50K,11/12/19 3:06,11/23/19 3:06
19776a,17,?,161981,10th,<=50K,11/12/19 3:51,11/15/19 3:51
19777a,20,Private,493443,11th,<=50K,11/12/19 3:55,11/24/19 3:55
19778a,36,Private,86459,Assoc-voc,>50K,11/12/19 3:59,11/22/19 3:59
19779a,64,Private,312242,Some-college,<=50K,11/12/19 4:06,11/18/19 4:06
19780a,34,Private,185408,Some-college,<=50K,11/12/19 5:01,11/19/19 5:01
19781a,63,Private,101077,Assoc-acdm,<=50K,11/12/19 5:38,11/20/19 5:38
19782a,51,Private,147200,HS-grad,<=50K,11/12/19 5:48,11/20/19 5:48
19783a,40,State-gov,166327,Some-college,<=50K,11/12/19 6:56,11/20/19 6:56
19784a,55,Private,178644,,<=50K,11/12/19 8:13,11/15/19 8:13
19785a,35,Private,126675,HS-grad,<=50K,11/12/19 8:29,11/18/19 8:29
19786a,30,Private,158420,Bachelors,<=50K,11/12/19 9:41,11/16/19 9:41
